epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,85656.5,0.65572,0.32414,0.80565,0.99429,0.99314,0.99429,0.90808,0.4648,0.2185,0.78939,0.000208438,0.000208438,0.000208438
103,87036.2,0.65313,0.31855,0.80538,0.99478,0.99363,0.99426,0.90861,0.46383,0.2178,0.78935,0.000198125,0.000198125,0.000198125
104,88417.6,0.64778,0.31731,0.80355,0.99411,0.99457,0.99436,0.90941,0.4629,0.21737,0.78925,0.000187813,0.000187813,0.000187813
105,89791.6,0.65369,0.32204,0.80528,0.9947,0.99406,0.99426,0.90908,0.46465,0.21829,0.78939,0.0001775,0.0001775,0.0001775
106,91170.7,0.65479,0.32177,0.80564,0.99362,0.99488,0.99425,0.90891,0.46388,0.21798,0.78941,0.000167188,0.000167188,0.000167188
107,92550.8,0.64471,0.31763,0.8043,0.99474,0.99399,0.99424,0.90784,0.46408,0.21779,0.78944,0.000156875,0.000156875,0.000156875
108,93932.8,0.64836,0.31509,0.80439,0.99368,0.99373,0.99422,0.90822,0.46426,0.21817,0.78938,0.000146562,0.000146562,0.000146562
109,95305.8,0.64319,0.31574,0.80418,0.99308,0.99429,0.99422,0.90784,0.46424,0.21823,0.78949,0.00013625,0.00013625,0.00013625
110,96684.7,0.64233,0.31683,0.80372,0.99396,0.99365,0.99419,0.90858,0.46364,0.21813,0.78941,0.000125938,0.000125938,0.000125938
111,97970.2,0.72533,0.32925,0.82589,0.99405,0.9935,0.99415,0.90707,0.46565,0.21968,0.78948,0.000115625,0.000115625,0.000115625
112,99255.3,0.71746,0.32959,0.82468,0.99273,0.99322,0.99409,0.90674,0.46696,0.22051,0.78969,0.000105312,0.000105312,0.000105312
113,100548,0.70874,0.32426,0.82255,0.99211,0.99315,0.99408,0.9067,0.46669,0.22077,0.78966,9.5e-05,9.5e-05,9.5e-05
114,101834,0.70826,0.32496,0.82283,0.9916,0.99319,0.99403,0.90685,0.46644,0.22054,0.78955,8.46875e-05,8.46875e-05,8.46875e-05
115,103122,0.70265,0.32425,0.82079,0.99152,0.99282,0.99399,0.90604,0.46684,0.22126,0.78954,7.4375e-05,7.4375e-05,7.4375e-05
116,104409,0.70806,0.32521,0.82234,0.99169,0.99313,0.99405,0.90674,0.46715,0.22061,0.78955,6.40625e-05,6.40625e-05,6.40625e-05
117,105701,0.70207,0.32428,0.82119,0.99158,0.99301,0.99399,0.9063,0.46673,0.22085,0.78951,5.375e-05,5.375e-05,5.375e-05
118,106992,0.69701,0.32316,0.82066,0.99186,0.99296,0.99403,0.90624,0.46684,0.22052,0.78951,4.34375e-05,4.34375e-05,4.34375e-05
119,108280,0.69214,0.31899,0.8192,0.99196,0.99301,0.99404,0.90604,0.46651,0.21998,0.78948,3.3125e-05,3.3125e-05,3.3125e-05
120,109567,0.6952,0.32016,0.81958,0.99205,0.99299,0.99405,0.90662,0.46627,0.21957,0.78944,2.28125e-05,2.28125e-05,2.28125e-05
